epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,115.944,1.65547,0.8185,0.99896,0.50611,0.00998092,0.00332697,0.00998092,0.00332697,0.00998092,0.00332697,0.00998092,0.00332697
2,236.753,0.53057,0.88534,0.99896,0.31845,0.0195853,0.00652843,0.0195853,0.00652843,0.0195853,0.00652843,0.0195853,0.00652843
3,354.58,0.45595,0.85109,0.99854,0.46947,0.0287937,0.00959789,0.0287937,0.00959789,0.0287937,0.00959789,0.0287937,0.00959789
4,476.885,0.50782,0.89077,0.99937,0.3228,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,598.359,0.39662,0.91813,0.99958,0.25138,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,711.894,0.33458,0.93713,0.99979,0.21076,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,828.497,0.29625,0.93588,0.99958,0.20413,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,947.07,0.26473,0.93546,0.99958,0.20647,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1062.15,0.25629,0.9457,0.99937,0.17614,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1173.4,0.23053,0.95134,0.99958,0.15009,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1281.32,0.21776,0.95155,0.99937,0.1577,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,1397.95,0.20607,0.95196,0.99979,0.14777,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,1511.97,0.19158,0.95677,0.99979,0.1388,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,1625.8,0.18367,0.95927,0.99958,0.13837,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,1739.21,0.17186,0.96366,0.99958,0.11865,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,1852.7,0.16972,0.95739,0.99937,0.14403,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,1960.94,0.15222,0.96011,0.99979,0.12558,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
